Struthio camelus
Rhea americana
Rhea pennata
Casuarius casuarius
Casuarius bennetti
Casuarius unappendiculatus
Dromaius novaehollandiae
Apteryx australis
Apteryx owenii
Apteryx haastii
Tinamus tao
Tinamus solitarius
Tinamus osgoodi
Tinamus major
Tinamus guttatus
Nothocercus bonapartei
Nothocercus julius
Nothocercus nigrocapillus
Crypturellus berlepschi
Crypturellus cinereus
Crypturellus soui
Crypturellus ptaritepui
Crypturellus obsoletus
Crypturellus cinnamomeus
Crypturellus undulatus
Crypturellus transfasciatus
Crypturellus strigulosus
Crypturellus boucardi
Crypturellus kerriae
Crypturellus erythropus
Crypturellus duidae
Crypturellus noctivagus
Crypturellus atrocapillus
Crypturellus variegatus
Crypturellus brevirostris
Crypturellus bartletti
Crypturellus parvirostris
Crypturellus casiquiare
Crypturellus tataupa
Rhynchotus rufescens
Nothoprocta taczanowskii
Nothoprocta kalinowskii
Nothoprocta ornata
Nothoprocta pentlandii
Nothoprocta cinerascens
Nothoprocta perdicaria
Nothoprocta curvirostris
Nothura darwinii
Nothura chacoensis
Nothura maculosa
Nothura minor
Nothura boraquira
Taoniscus nanus
Eudromia elegans
Eudromia formosa
Tinamotis pentlandii
Tinamotis ingoufi
Ortalis vetula
Ortalis cinereiceps
Ortalis garrula
Ortalis ruficauda
Ortalis erythroptera
Ortalis wagleri
Ortalis poliocephala
Ortalis canicollis
Ortalis leucogastra
Ortalis guttata
Ortalis motmot
Ortalis superciliaris
Penelope argyrotis
Penelope barbata
Penelope ortoni
Penelope montagnii
Penelope marail
Penelope superciliaris
Penelope dabbenei
Penelope purpurascens
Penelope perspicax
Penelope albipennis
Penelope jacquacu
Penelope obscura
Penelope pileata
Penelope ochrogaster
Penelope jacucaca
Pipile pipile
Pipile cumanensis
Pipile cujubi
Pipile jacutinga
Aburria aburri
Chamaepetes unicolor
Chamaepetes goudotii
Penelopina nigra
Oreophasis derbianus
Nothocrax urumutum
Mitu tomentosa
Mitu salvini
Mitu tuberosa
Mitu mitu
Pauxi pauxi
Pauxi unicornis
Crax rubra
Crax alberti
Crax daubentoni
Crax alector
Crax globulosa
Crax fasciolata
Crax blumenbachii
Alectura lathami
Aepypodius arfakianus
Aepypodius bruijnii
Talegalla cuvieri
Talegalla fuscirostris
Talegalla jobiensis
Macrocephalon maleo
Megapodius nicobariensis
Megapodius cumingii
Megapodius bernsteinii
Megapodius reinwardt
Megapodius freycinet
Megapodius affinis
Megapodius eremita
Megapodius layardi
Megapodius laperouse
Megapodius pritchardii
Megapodius wallacei
Leipoa ocellata
Lerwa lerwa
Ammoperdix griseogularis
Ammoperdix heyi
Tetraogallus caucasicus
Tetraogallus caspius
Tetraogallus tibetanus
Tetraogallus altaicus
Tetraogallus himalayensis
Tetraophasis obscurus
Tetraophasis szechenyii
Alectoris graeca
Alectoris chukar
Alectoris philbyi
Alectoris magna
Alectoris barbara
Alectoris rufa
Alectoris melanocephala
Francolinus francolinus
Francolinus pictus
Francolinus pintadeanus
Francolinus pondicerianus
Francolinus gularis
Francolinus coqui
Francolinus albogularis
Francolinus schlegelii
Francolinus lathami
Francolinus sephaena
Francolinus streptophorus
Francolinus finschi
Francolinus africanus
Francolinus levaillantii
Francolinus psilolaemus
Francolinus shelleyi
Francolinus levaillantoides
Francolinus nahani
Francolinus hartlaubi
Francolinus bicalcaratus
Francolinus clappertoni
Francolinus icterorhynchus
Francolinus harwoodi
Francolinus adspersus
Francolinus capensis
Francolinus hildebrandti
Francolinus natalensis
Francolinus ahantensis
Francolinus squamatus
Francolinus griseostriatus
Francolinus leucoscepus
Francolinus rufopictus
Francolinus afer
